Title,Genre,Premiere Date
House of Cards,Political drama,"February 1, 2013"
Hemlock Grove,Horror/thriller,"April 19, 2013"
Orange Is the New Black,Comedy drama,"July 11, 2013"
Marco Polo,Historical drama,"December 12, 2014"
Bloodline,Thriller,"March 20, 2015"
Daredevil,Superhero legal drama,"April 10, 2015"
Sense8,Science fiction,"June 5, 2015"
Narcos,Crime drama,"August 28, 2015"
Jessica Jones,Superhero psychological thriller,"November 20, 2015"
The Get Down,Musical drama,"August 12, 2016"
Luke Cage,Neo-blaxploitation Superhero,"September 30, 2016"
The OA,Mystery,"December 16, 2016"
Iron Fist,Superhero martial arts,"March 17, 2017"
13 Reasons Why,Teen drama mystery,"March 31, 2017"
Gypsy,Psychological thriller,"June 30, 2017"
Ozark,Crime drama,"July 21, 2017"
Mindhunter,Crime drama,"October 13, 2017"
The Punisher,Superhero drama,"November 17, 2017"
Altered Carbon,Science fiction,"February 2, 2018"
Seven Seconds,Crime drama,"February 23, 2018"
The Innocents,Supernatural fiction,"August 24, 2018"
Chilling Adventures of Sabrina,Supernatural coming-of-age horror,"October 26, 2018"
Narcos: Mexico,Crime drama,"November 16, 2018"
Tidelands,Supernatural crime drama,"December 14, 2018"
The Order,Supernatural horror drama,"March 7, 2019"
Shadow,Thriller,"March 8, 2019"
Black Summer,Apocalyptic fiction drama,"April 11, 2019"
Chambers,Teen psychological thriller,"April 26, 2019"
The Society,Mystery drama,"May 10, 2019"
What/If,Social thriller anthology,"May 24, 2019"
Trinkets,Coming-of-age drama,"June 14, 2019"
Another Life,Science fiction drama,"July 25, 2019"
Wu Assassins,Supernatural martial arts drama,"August 8, 2019"
Criminal: UK,Police procedural anthology series,"September 20, 2019"
V Wars,Science fiction horror drama,"December 5, 2019"
Soundtrack,Musical drama,"December 18, 2019"
Messiah,Thriller,"January 1, 2020"
Spinning Out,Drama,"January 1, 2020"
October Faction,Horror,"January 23, 2020"
Locke & Key,Fantasy drama/Supernatural horror,"February 7, 2020"
Queen Sono,Crime drama,"February 28, 2020"
The English Game,Historical drama,"March 20, 2020"
Hollywood,Drama,"May 1, 2020"
White Lines,Drama,"May 15, 2020"
Homemade,Anthology series,"June 30, 2020"
Warrior Nun,Fantasy,"July 2, 2020"
Cursed,Fantasy,"July 17, 2020"
Young Wallander,Detective drama,"September 3, 2020"
Away,Science fiction,"September 4, 2020"
Social Distance,Anthology series,"October 15, 2020"
Grand Army,Teen drama,"October 16, 2020"
Dash & Lily,Romance,"November 10, 2020"
Tiny Pretty Things,Teen drama,"December 14, 2020"
Fate: The Winx Saga,Teen drama fantasy,"January 22, 2021"
The One,Science fiction,"March 12, 2021"
The Irregulars,Mystery drama,"March 26, 2021"
Jupiter's Legacy,Superhero epic,"May 7, 2021"
Halston,Drama,"May 14, 2021"
Jiva!,Drama,"June 24, 2021"
Sex/Life,Drama,"June 25, 2021"
Hit & Run,Thriller,"August 6, 2021"
Cowboy Bebop,Science fiction,"November 19, 2021"
Archive 81,Found footage horror,"January 14, 2022"
In From the Cold,Thriller,"January 28, 2022"
Pieces of Her,Thriller,"March 4, 2022"
Savage Beauty,Drama,"May 12, 2022"
First Kill,Horror drama,"June 10, 2022"
Resident Evil,Science fiction horror,"July 14, 2022"
Country Queen,Drama,"July 15, 2022"
Justice Served,Drama,"July 29, 2022"
Partner Track,Legal drama,"August 26, 2022"
The Imperfects,Science fiction,"September 8, 2022"
The Midnight Club,Teen horror drama,"October 7, 2022"
The Bastard Son & The Devil Himself,Fantasy drama,"October 28, 2022"
1899,Epic period mystery horror,"November 17, 2022"
Unbreakable Kimmy Schmidt,Comedy,"March 6, 2015"
Grace and Frankie,Comedy drama,"May 8, 2015"
Wet Hot American Summer: First Day of Camp,Satirical comedy,"July 31, 2015"
Master of None,Comedy,"November 6, 2015"
W/ Bob & David,Sketch comedy,"November 13, 2015"
Real Rob,Comedy,"December 1, 2015"
Love,Romantic comedy,"February 19, 2016"
Flaked,Comedy,"March 11, 2016"
Netflix Presents: The Characters,Sketch comedy,"March 11, 2016"
The Ranch,Sitcom,"April 1, 2016"
Lady Dynamite,Comedy,"May 20, 2016"
Easy,Romantic comedy anthology,"September 22, 2016"
Trailer Park Boys Out of the Park: Europe,Mockumentary,"October 28, 2016"
Santa Clarita Diet,Comedy horror,"February 3, 2017"
Girlboss,Comedy,"April 21, 2017"
Dear White People,Satirical comedy drama,"April 28, 2017"
GLOW,Comedy,"June 23, 2017"
Friends from College,Comedy,"July 14, 2017"
Atypical,Coming-of-age comedy,"August 11, 2017"
Disjointed,Comedy,"August 25, 2017"
American Vandal,Mockumentary,"September 15, 2017"
She's Gotta Have It,Comedy drama,"November 23, 2017"
Trailer Park Boys Out of the Park: USA,Mockumentary,"November 24, 2017"
Everything Sucks!,Coming-of-age comedy drama,"February 16, 2018"
On My Block,Coming-of-age comedy,"March 16, 2018"
Insatiable,Dark comedy drama,"August 10, 2018"
The Good Cop,Police procedural comedy drama,"September 21, 2018"
The Kominsky Method,Comedy,"November 16, 2018"
Russian Doll,Comedy,"February 1, 2019"
After Life,Black comedy-drama,"March 8, 2019"
Turn Up Charlie,Comedy,"March 15, 2019"
Huge in France,Comedy,"April 12, 2019"
Special,Comedy,"April 12, 2019"
Lunatics,Comedy,"April 19, 2019"
Bonding,Dark comedy,"April 24, 2019"
Dead to Me,Black comedy-drama,"May 3, 2019"
It's Bruno!,Comedy,"May 17, 2019"
Mr. Iglesias,Comedy,"June 21, 2019"
The Politician,Comedy,"September 27, 2019"
Living with Yourself,Comedy drama,"October 18, 2019"
Daybreak,Dark comedy,"October 24, 2019"
Merry Happy Whatever,Comedy,"November 28, 2019"
Astronomy Club: The Sketch Show,Sketch comedy,"December 6, 2019"
AJ and the Queen,Comedy,"January 10, 2020"
Medical Police,Comedy,"January 10, 2020"
Gentefied,Comedy drama,"February 21, 2020"
I Am Not Okay with This,Coming-of-age comedy,"February 26, 2020"
The Iliza Shlesinger Sketch Show,Sketch comedy,"April 1, 2020"
Brews Brothers,Comedy,"April 10, 2020"
#blackAF,Sitcom,"April 17, 2020"
Space Force,Workplace comedy,"May 29, 2020"
Teenage Bounty Hunters,Comedy,"August 14, 2020"
The Duchess,Comedy,"September 11, 2020"
Sneakerheads,Comedy,"September 25, 2020"
Aunty Donna's Big Ol' House of Fun,Comedy,"November 11, 2020"
The Crew,Workplace comedy,"February 15, 2021"
The Chair,Comedy drama,"August 20, 2021"
Pretty Smart,Sitcom,"October 8, 2021"
Decoupled,Comedy,"December 17, 2021"
The Woman in the House Across the Street from the Girl in the Window,Dark comedy thriller,"January 28, 2022"
Murderville,Crime comedy/Improvisational,"February 3, 2022"
Eternally Confused and Eager for Love,Comedy drama,"March 18, 2022"
Hard Cell,Mockumentary,"April 12, 2022"
The Pentaverate,Comedy,"May 5, 2022"
Uncoupled,Comedy,"July 29, 2022"
Chad and JT Go Deep,Comedy,"August 23, 2022"
Blockbuster,Workplace comedy,"November 3, 2022"
Freeridge,Comedy,"February 2, 2023"
Richie Rich,Sitcom,"February 20, 2015"
Project Mc2,Comedy,"August 7, 2015"
Fuller House,Sitcom,"February 26, 2016"
Haters Back Off,Comedy,"October 14, 2016"
One Day at a Time,Sitcom,"January 6, 2017"
A Series of Unfortunate Events,Black comedy mystery,"January 13, 2017"
Julie's Greenroom,Educational,"March 17, 2017"
Free Rein,Teen drama,"June 22, 2017"
Greenhouse Academy,Science fiction teen drama,"September 8, 2017"
Alexa & Katie,Sitcom,"March 23, 2018"
Lost in Space,Science fiction,"April 13, 2018"
The Who Was? Show,Educational,"May 11, 2018"
All About the Washingtons,Comedy,"August 10, 2018"
The Ponysitters Club,Drama,"August 10, 2018"
Best.Worst.Weekend.Ever.,Comedy,"October 19, 2018"
Brainchild,Educational,"November 2, 2018"
Prince of Peoria,Sitcom,"November 16, 2018"
No Good Nick,Sitcom,"April 15, 2019"
Malibu Rescue: The Series,Comedy,"June 3, 2019"
Family Reunion,Sitcom,"July 10, 2019"
The Dark Crystal: Age of Resistance,Fantasy,"August 30, 2019"
Team Kaylie,Sitcom,"September 23, 2019"
Raising Dion,Superhero/science fiction drama,"October 4, 2019"
