Title,Genre,Premiere Date,Language,Country,IMDb Rating,IMDb Votes
House of Cards,Political drama,"February 1, 2013",English,United States,8.7,"511,346"
Hemlock Grove,Horror/thriller,"April 19, 2013",English,United States,7.0,"41,130"
Orange Is the New Black,Comedy drama,"July 11, 2013",English,United States,8.1,"308,035"
Marco Polo,Historical drama,"December 12, 2014","English, Cantonese, Mandarin, Mongolian, Persian, Italian, Uighur, Arabic",United States,8.0,"74,805"
Bloodline,Thriller,"March 20, 2015",English,United States,7.9,"54,639"
Daredevil,Superhero legal drama,"April 10, 2015","English, Spanish, Mandarin, Japanese, Russian",United States,8.6,"449,783"
Sense8,Science fiction,"June 5, 2015",English,United States,8.2,"157,173"
Narcos,Crime drama,"August 28, 2015","English, Spanish","United States, Colombia",8.8,"434,827"
Jessica Jones,Superhero psychological thriller,"November 20, 2015",English,United States,7.9,"217,994"
The Get Down,Musical drama,"August 12, 2016",English,United States,8.2,"22,970"
Luke Cage,Neo-blaxploitation Superhero,"September 30, 2016","English, Spanish, Polish",United States,7.3,"134,022"
The OA,Mystery,"December 16, 2016",English,United States,7.8,"107,847"
Iron Fist,Superhero martial arts,"March 17, 2017","English, Mandarin, Japanese, Russian, Korean",United States,6.4,"134,161"
13 Reasons Why,Teen drama mystery,"March 31, 2017",English,United States,7.5,"299,416"
Gypsy,Psychological thriller,"June 30, 2017",English,"United States, United Kingdom",6.8,"17,639"
Ozark,Crime drama,"July 21, 2017",English,United States,8.5,"323,575"
Mindhunter,Crime drama,"October 13, 2017",English,United States,8.6,"301,114"
The Punisher,Superhero drama,"November 17, 2017",English,United States,8.5,"244,731"
Altered Carbon,Science fiction,"February 2, 2018","English, Spanish, Arabic, German",United States,7.9,"176,181"
Seven Seconds,Crime drama,"February 23, 2018",English,United States,7.7,"17,899"
The Innocents,Supernatural fiction,"August 24, 2018",English,United Kingdom,7.8,"31,358"
Chilling Adventures of Sabrina,Supernatural coming-of-age horror,"October 26, 2018",English,United States,7.4,"99,480"
Narcos: Mexico,Crime drama,"November 16, 2018",English,United States,8.4,"87,122"
Tidelands,Supernatural crime drama,"December 14, 2018",English,Australia,6.8,"8,356"
The Order,Supernatural horror drama,"March 7, 2019",English,United States,6.7,"30,556"
Shadow,Thriller,"March 8, 2019",Mandarin,"China, Hong Kong",7.0,"16,836"
Black Summer,Apocalyptic fiction drama,"April 11, 2019",English,"Canada, United States",6.6,"31,833"
Chambers,Teen psychological thriller,"April 26, 2019",English,United States,6.4,"8,856"
The Society,Mystery drama,"May 10, 2019",English,United States,7.1,"32,672"
What/If,Social thriller anthology,"May 24, 2019",English,United States,6.3,"16,003"
Trinkets,Coming-of-age drama,"June 14, 2019",English,United States,7.1,"12,175"
Another Life,Science fiction drama,"July 25, 2019",English,United States,5.3,"36,655"
Wu Assassins,Supernatural martial arts drama,"August 8, 2019","English, Cantonese",United States,6.4,"13,628"
Criminal: UK,Police procedural anthology series,"September 20, 2019",English,"United Kingdom, France, Germany, Spain",7.6,"19,632"
V Wars,Science fiction horror drama,"December 5, 2019",English,United States,6.0,"14,413"
Soundtrack,Musical drama,"December 18, 2019",English,United States,6.8,"2,185"
Messiah,Thriller,"January 1, 2020","Arabic, Hebrew, Persian, English",United States,7.6,"44,480"
Spinning Out,Drama,"January 1, 2020",English,United States,7.6,"15,486"
October Faction,Horror,"January 23, 2020",English,United States,6.2,"11,671"
Locke & Key,Fantasy drama/Supernatural horror,"February 7, 2020",English,"Canada, United States",7.3,"90,428"
Queen Sono,Crime drama,"February 28, 2020","Russian, English, French, Zulu, Afrikaans, Swahili, Xhosa, Sotho",South Africa,6.1,"1,304"
The English Game,Historical drama,"March 20, 2020",English,United Kingdom,7.6,"15,703"
Hollywood,Drama,"May 1, 2020",English,United States,7.5,"38,220"
White Lines,Drama,"May 15, 2020","English, Spanish","United Kingdom, Spain",6.6,"17,645"
Homemade,Anthology series,"June 30, 2020","English, Italian, Spanish","Chile, Italy",6.1,843
Warrior Nun,Fantasy,"July 2, 2020",English,United States,7.0,"51,840"
Cursed,Fantasy,"July 17, 2020",English,"Germany, United States",5.0,"33,782"
Young Wallander,Detective drama,"September 3, 2020",English,United Kingdom,6.9,"12,524"
Away,Science fiction,"September 4, 2020",English,United States,6.6,"24,717"
Social Distance,Anthology series,"October 15, 2020",English,United States,5.9,690
Grand Army,Teen drama,"October 16, 2020",English,United States,7.5,"7,919"
Dash & Lily,Romance,"November 10, 2020",English,United States,7.5,"20,648"
Tiny Pretty Things,Teen drama,"December 14, 2020",English,United States,5.9,"9,819"
Fate: The Winx Saga,Teen drama fantasy,"January 22, 2021",English,"Italy, United Kingdom",6.8,"51,414"
The One,Science fiction,"March 12, 2021",English,United States,5.9,"93,545"
The Irregulars,Mystery drama,"March 26, 2021",English,United Kingdom,6.0,"16,041"
Jupiter's Legacy,Superhero epic,"May 7, 2021",English,United States,6.7,"39,507"
Halston,Drama,"May 14, 2021",English,United States,7.5,"15,815"
Jiva!,Drama,"June 24, 2021",English,South Africa,5.8,294
Sex/Life,Drama,"June 25, 2021",English,United States,5.5,"25,779"
Hit & Run,Thriller,"August 6, 2021","English, Hebrew",United States,7.0,"9,857"
Cowboy Bebop,Science fiction,"November 19, 2021",Japanese,Japan,8.9,"124,632"
Archive 81,Found footage horror,"January 14, 2022",English,United States,7.3,"52,616"
In From the Cold,Thriller,"January 28, 2022",English,United States,6.3,"8,524"
Pieces of Her,Thriller,"March 4, 2022",English,United States,6.3,"28,416"
Savage Beauty,Drama,"May 12, 2022",English,South Africa,5.7,466
First Kill,Horror drama,"June 10, 2022",English,United States,6.5,"27,756"
Resident Evil,Science fiction horror,"July 14, 2022",English,"United Kingdom, Germany",6.6,"276,836"
Country Queen,Drama,"July 15, 2022","English, Swahili",Kenya,5.5,246
Justice Served,Drama,"July 29, 2022",English,South Africa,5.1,550
Partner Track,Legal drama,"August 26, 2022",English,United States,6.7,"6,216"
The Imperfects,Science fiction,"September 8, 2022",English,"Canada, United States",6.4,"6,604"
The Midnight Club,Teen horror drama,"October 7, 2022",English,"Canada, United States",6.5,"27,305"
The Bastard Son & The Devil Himself,Fantasy drama,"October 28, 2022",English,United Kingdom,7.5,"11,193"
1899,Epic period mystery horror,"November 17, 2022","English, German, Danish, Spanish, French, Cantonese","Germany, United States",7.4,"95,907"
Unbreakable Kimmy Schmidt,Comedy,"March 6, 2015",English,United States,7.6,"74,276"
Grace and Frankie,Comedy drama,"May 8, 2015",English,United States,8.2,"53,705"
Wet Hot American Summer: First Day of Camp,Satirical comedy,"July 31, 2015",English,United States,7.3,"24,491"
Master of None,Comedy,"November 6, 2015",English,United States,8.2,"74,384"
W/ Bob & David,Sketch comedy,"November 13, 2015",,,,
Real Rob,Comedy,"December 1, 2015",English,United States,6.4,"2,990"
Love,Romantic comedy,"February 19, 2016","English, French","France, Belgium",6.1,"61,698"
Flaked,Comedy,"March 11, 2016",English,United States,7.2,"11,844"
Netflix Presents: The Characters,Sketch comedy,"March 11, 2016",,,,
The Ranch,Sitcom,"April 1, 2016",English,United States,7.5,"40,474"
Lady Dynamite,Comedy,"May 20, 2016",English,United States,7.3,"3,826"
Easy,Romantic comedy anthology,"September 22, 2016",English,United States,6.9,"14,444"
Trailer Park Boys Out of the Park: Europe,Mockumentary,"October 28, 2016",,,,
Santa Clarita Diet,Comedy horror,"February 3, 2017",English,United States,7.8,"71,080"
Girlboss,Comedy,"April 21, 2017",English,United States,7.0,"18,742"
Dear White People,Satirical comedy drama,"April 28, 2017",English,United States,6.1,"26,033"
GLOW,Comedy,"June 23, 2017","English, Spanish, Russian, Central Khmer",United States,8.0,"47,984"
Friends from College,Comedy,"July 14, 2017",English,United States,6.9,"21,873"
Atypical,Coming-of-age comedy,"August 11, 2017",English,United States,8.2,"93,702"
Disjointed,Comedy,"August 25, 2017","Mandarin, English",United States,6.7,"10,718"
American Vandal,Mockumentary,"September 15, 2017",English,United States,8.1,"31,715"
She's Gotta Have It,Comedy drama,"November 23, 2017",English,United States,6.8,"15,313"
Trailer Park Boys Out of the Park: USA,Mockumentary,"November 24, 2017",,,,
Everything Sucks!,Coming-of-age comedy drama,"February 16, 2018",English,United States,7.5,"21,360"
On My Block,Coming-of-age comedy,"March 16, 2018",English,United States,7.9,"17,791"
Insatiable,Dark comedy drama,"August 10, 2018",English,United States,6.5,"30,076"
The Good Cop,Police procedural comedy drama,"September 21, 2018",English,United States,7.0,"6,212"
The Kominsky Method,Comedy,"November 16, 2018",English,United States,8.2,"41,364"
Russian Doll,Comedy,"February 1, 2019",English,United States,7.8,"99,481"
After Life,Black comedy-drama,"March 8, 2019",English,United Kingdom,8.4,"141,384"
Turn Up Charlie,Comedy,"March 15, 2019",English,United Kingdom,7.0,"7,860"
Huge in France,Comedy,"April 12, 2019",English,United States,6.8,"2,970"
Special,Comedy,"April 12, 2019",English,United States,7.6,"9,845"
Lunatics,Comedy,"April 19, 2019",English,Australia,6.6,"3,394"
Bonding,Dark comedy,"April 24, 2019",English,United States,7.1,"16,928"
Dead to Me,Black comedy-drama,"May 3, 2019",English,United States,8.0,"91,872"
It's Bruno!,Comedy,"May 17, 2019",English,United States,7.5,"3,089"
Mr. Iglesias,Comedy,"June 21, 2019",English,United States,7.1,"7,390"
The Politician,Comedy,"September 27, 2019",English,United States,7.5,"23,466"
Living with Yourself,Comedy drama,"October 18, 2019",English,United States,7.2,"33,234"
Daybreak,Dark comedy,"October 24, 2019",English,United States,6.7,"21,542"
Merry Happy Whatever,Comedy,"November 28, 2019",English,United States,6.3,"5,081"
Astronomy Club: The Sketch Show,Sketch comedy,"December 6, 2019",,,,
AJ and the Queen,Comedy,"January 10, 2020",English,United States,7.5,"8,604"
Medical Police,Comedy,"January 10, 2020",English,United States,6.0,"4,419"
Gentefied,Comedy drama,"February 21, 2020",English,United States,7.5,"2,886"
I Am Not Okay with This,Coming-of-age comedy,"February 26, 2020",English,United States,7.5,"66,129"
The Iliza Shlesinger Sketch Show,Sketch comedy,"April 1, 2020",N/A,United States,5.0,970
Brews Brothers,Comedy,"April 10, 2020",English,United States,5.1,"2,020"
#blackAF,Sitcom,"April 17, 2020",English,United States,6.8,"5,088"
Space Force,Workplace comedy,"May 29, 2020",English,United States,6.7,"66,985"
Teenage Bounty Hunters,Comedy,"August 14, 2020",English,United States,7.7,"13,008"
The Duchess,Comedy,"September 11, 2020",English,"United Kingdom, Italy, France, United States",6.9,"84,820"
