Title,Genre,Premiere Date,Language,Country,IMDb Rating,IMDb Votes,Close Price
House of Cards,Political drama,2013-02-01,English,United States,8.7,"511,346",23.542856216430664
Hemlock Grove,Horror/thriller,2013-04-19,English,United States,7.0,"41,130",23.338571548461914
Orange Is the New Black,Comedy drama,2013-07-11,English,United States,8.1,"308,035",34.88142776489258
Marco Polo,Historical drama,2014-12-12,"English, Cantonese, Mandarin, Mongolian, Persian, Italian, Uighur, Arabic",United States,8.0,"74,805",47.78285598754883
Bloodline,Thriller,2015-03-20,English,United States,7.9,"54,639",61.18571472167969
Daredevil,Superhero legal drama,2015-04-10,"English, Spanish, Mandarin, Japanese, Russian",United States,8.6,"449,783",64.93856811523438
Sense8,Science fiction,2015-06-05,English,United States,8.2,"157,173",90.45999908447266
Narcos,Crime drama,2015-08-28,"English, Spanish","United States, Colombia",8.8,"434,827",117.62999725341797
Jessica Jones,Superhero psychological thriller,2015-11-20,English,United States,7.9,"217,994",123.83999633789062
The Get Down,Musical drama,2016-08-12,English,United States,8.2,"22,970",96.58999633789062
Luke Cage,Neo-blaxploitation Superhero,2016-09-30,"English, Spanish, Polish",United States,7.3,"134,022",98.55000305175781
The OA,Mystery,2016-12-16,English,United States,7.8,"107,847",124.22000122070312
Iron Fist,Superhero martial arts,2017-03-17,"English, Mandarin, Japanese, Russian, Korean",United States,6.4,"134,161",145.11000061035156
13 Reasons Why,Teen drama mystery,2017-03-31,English,United States,7.5,"299,416",147.80999755859375
Gypsy,Psychological thriller,2017-06-30,English,"United States, United Kingdom",6.8,"17,639",149.41000366210938
Ozark,Crime drama,2017-07-21,English,United States,8.5,"323,575",188.5399932861328
Mindhunter,Crime drama,2017-10-13,English,United States,8.6,"301,114",199.49000549316406
The Punisher,Superhero drama,2017-11-17,English,United States,8.5,"244,731",193.1999969482422
Altered Carbon,Science fiction,2018-02-02,"English, Spanish, Arabic, German",United States,7.9,"176,181",267.42999267578125
Seven Seconds,Crime drama,2018-02-23,English,United States,7.7,"17,899",285.92999267578125
The Innocents,Supernatural fiction,2018-08-24,English,United Kingdom,7.8,"31,358",358.82000732421875
Chilling Adventures of Sabrina,Supernatural coming-of-age horror,2018-10-26,English,United States,7.4,"99,480",299.8299865722656
Narcos: Mexico,Crime drama,2018-11-16,English,United States,8.4,"87,122",286.2099914550781
Tidelands,Supernatural crime drama,2018-12-14,English,Australia,6.8,"8,356",266.8399963378906
The Order,Supernatural horror drama,2019-03-07,English,United States,6.7,"30,556",352.6000061035156
Shadow,Thriller,2019-03-08,Mandarin,"China, Hong Kong",7.0,"16,836",349.6000061035156
Black Summer,Apocalyptic fiction drama,2019-04-11,English,"Canada, United States",6.6,"31,833",367.6499938964844
Chambers,Teen psychological thriller,2019-04-26,English,United States,6.4,"8,856",374.8500061035156
The Society,Mystery drama,2019-05-10,English,United States,7.1,"32,672",361.0400085449219
What/If,Social thriller anthology,2019-05-24,English,United States,6.3,"16,003",354.3900146484375
Trinkets,Coming-of-age drama,2019-06-14,English,United States,7.1,"12,175",339.7300109863281
Another Life,Science fiction drama,2019-07-25,English,United States,5.3,"36,655",326.4599914550781
Wu Assassins,Supernatural martial arts drama,2019-08-08,"English, Cantonese",United States,6.4,"13,628",315.8999938964844
Criminal: UK,Police procedural anthology series,2019-09-20,English,"United Kingdom, France, Germany, Spain",7.6,"19,632",270.75
V Wars,Science fiction horror drama,2019-12-05,English,United States,6.0,"14,413",302.8599853515625
Soundtrack,Musical drama,2019-12-18,English,United States,6.8,"2,185",320.79998779296875
Messiah,Thriller,2020-01-01,"Arabic, Hebrew, Persian, English",United States,7.6,"44,480",
Spinning Out,Drama,2020-01-01,English,United States,7.6,"15,486",
October Faction,Horror,2020-01-23,English,United States,6.2,"11,671",349.6000061035156
Locke & Key,Fantasy drama/Supernatural horror,2020-02-07,English,"Canada, United States",7.3,"90,428",366.7699890136719
Queen Sono,Crime drama,2020-02-28,"Russian, English, French, Zulu, Afrikaans, Swahili, Xhosa, Sotho",South Africa,6.1,"1,304",369.0299987792969
The English Game,Historical drama,2020-03-20,English,United Kingdom,7.6,"15,703",332.8299865722656
Hollywood,Drama,2020-05-01,English,United States,7.5,"38,220",415.2699890136719
White Lines,Drama,2020-05-15,"English, Spanish","United Kingdom, Spain",6.6,"17,645",454.19000244140625
Homemade,Anthology series,2020-06-30,"English, Italian, Spanish","Chile, Italy",6.1,843,455.0400085449219
Warrior Nun,Fantasy,2020-07-02,English,United States,7.0,"51,840",476.8900146484375
Cursed,Fantasy,2020-07-17,English,"Germany, United States",5.0,"33,782",492.989990234375
Young Wallander,Detective drama,2020-09-03,English,United Kingdom,6.9,"12,524",525.75
Away,Science fiction,2020-09-04,English,United States,6.6,"24,717",516.0499877929688
Social Distance,Anthology series,2020-10-15,English,United States,5.9,690,541.9400024414062
Grand Army,Teen drama,2020-10-16,English,United States,7.5,"7,919",530.7899780273438
Dash & Lily,Romance,2020-11-10,English,United States,7.5,"20,648",480.239990234375
Tiny Pretty Things,Teen drama,2020-12-14,English,United States,5.9,"9,819",522.4199829101562
Fate: The Winx Saga,Teen drama fantasy,2021-01-22,English,"Italy, United Kingdom",6.8,"51,414",565.1699829101562
The One,Science fiction,2021-03-12,English,United States,5.9,"93,545",518.02001953125
The Irregulars,Mystery drama,2021-03-26,English,United Kingdom,6.0,"16,041",508.04998779296875
Jupiter's Legacy,Superhero epic,2021-05-07,English,United States,6.7,"39,507",503.8399963378906
Halston,Drama,2021-05-14,English,United States,7.5,"15,815",493.3699951171875
Jiva!,Drama,2021-06-24,English,South Africa,5.8,294,518.0599975585938
Sex/Life,Drama,2021-06-25,English,United States,5.5,"25,779",527.0700073242188
Hit & Run,Thriller,2021-08-06,"English, Hebrew",United States,7.0,"9,857",520.5499877929688
Cowboy Bebop,Science fiction,2021-11-19,Japanese,Japan,8.9,"124,632",678.7999877929688
Archive 81,Found footage horror,2022-01-14,English,United States,7.3,"52,616",525.6900024414062
In From the Cold,Thriller,2022-01-28,English,United States,6.3,"8,524",384.3599853515625
Pieces of Her,Thriller,2022-03-04,English,United States,6.3,"28,416",361.7300109863281
Savage Beauty,Drama,2022-05-12,English,South Africa,5.7,466,174.30999755859375
First Kill,Horror drama,2022-06-10,English,United States,6.5,"27,756",182.94000244140625
Resident Evil,Science fiction horror,2022-07-14,English,"United Kingdom, Germany",6.6,"276,836",174.77999877929688
Country Queen,Drama,2022-07-15,"English, Swahili",Kenya,5.5,246,189.11000061035156
Justice Served,Drama,2022-07-29,English,South Africa,5.1,550,224.89999389648438
Partner Track,Legal drama,2022-08-26,English,United States,6.7,"6,216",223.27999877929688
The Imperfects,Science fiction,2022-09-08,English,"Canada, United States",6.4,"6,604",227.44000244140625
The Midnight Club,Teen horror drama,2022-10-07,English,"Canada, United States",6.5,"27,305",224.75
The Bastard Son & The Devil Himself,Fantasy drama,2022-10-28,English,United Kingdom,7.5,"11,193",295.7200012207031
1899,Epic period mystery horror,2022-11-17,"English, German, Danish, Spanish, French, Cantonese","Germany, United States",7.4,"95,907",295.2799987792969
Unbreakable Kimmy Schmidt,Comedy,2015-03-06,English,United States,7.6,"74,276",64.87428283691406
Grace and Frankie,Comedy drama,2015-05-08,English,United States,8.2,"53,705",82.0857162475586
Wet Hot American Summer: First Day of Camp,Satirical comedy,2015-07-31,English,United States,7.3,"24,491",114.30999755859375
Master of None,Comedy,2015-11-06,English,United States,8.2,"74,384",114.05999755859375
W/ Bob & David,Sketch comedy,2015-11-13,,,,,103.6500015258789
Real Rob,Comedy,2015-12-01,English,United States,6.4,"2,990",125.37000274658203
Love,Romantic comedy,2016-02-19,"English, French","France, Belgium",6.1,"61,698",89.2300033569336
Flaked,Comedy,2016-03-11,English,United States,7.2,"11,844",97.66000366210938
Netflix Presents: The Characters,Sketch comedy,2016-03-11,,,,,97.66000366210938
The Ranch,Sitcom,2016-04-01,English,United States,7.5,"40,474",105.69999694824219
Lady Dynamite,Comedy,2016-05-20,English,United States,7.3,"3,826",92.48999786376953
Easy,Romantic comedy anthology,2016-09-22,English,United States,6.9,"14,444",95.83000183105469
Trailer Park Boys Out of the Park: Europe,Mockumentary,2016-10-28,,,,,126.56999969482422
Santa Clarita Diet,Comedy horror,2017-02-03,English,United States,7.8,"71,080",140.25
Girlboss,Comedy,2017-04-21,English,United States,7.0,"18,742",142.8699951171875
Dear White People,Satirical comedy drama,2017-04-28,English,United States,6.1,"26,033",152.1999969482422
GLOW,Comedy,2017-06-23,"English, Spanish, Russian, Central Khmer",United States,8.0,"47,984",158.02000427246094
Friends from College,Comedy,2017-07-14,English,United States,6.9,"21,873",161.1199951171875
Atypical,Coming-of-age comedy,2017-08-11,English,United States,8.2,"93,702",171.39999389648438
Disjointed,Comedy,2017-08-25,"Mandarin, English",United States,6.7,"10,718",165.9499969482422
American Vandal,Mockumentary,2017-09-15,English,United States,8.1,"31,715",182.35000610351562
She's Gotta Have It,Comedy drama,2017-11-23,English,United States,6.8,"15,313",
Trailer Park Boys Out of the Park: USA,Mockumentary,2017-11-24,,,,,195.75
Everything Sucks!,Coming-of-age comedy drama,2018-02-16,English,United States,7.5,"21,360",278.5199890136719
On My Block,Coming-of-age comedy,2018-03-16,English,United States,7.9,"17,791",318.45001220703125
Insatiable,Dark comedy drama,2018-08-10,English,United States,6.5,"30,076",345.8699951171875
The Good Cop,Police procedural comedy drama,2018-09-21,English,United States,7.0,"6,212",361.19000244140625
The Kominsky Method,Comedy,2018-11-16,English,United States,8.2,"41,364",286.2099914550781
Russian Doll,Comedy,2019-02-01,English,United States,7.8,"99,481",339.8500061035156
After Life,Black comedy-drama,2019-03-08,English,United Kingdom,8.4,"141,384",349.6000061035156
Turn Up Charlie,Comedy,2019-03-15,English,United Kingdom,7.0,"7,860",361.4599914550781
Huge in France,Comedy,2019-04-12,English,United States,6.8,"2,970",351.1400146484375
Special,Comedy,2019-04-12,English,United States,7.6,"9,845",351.1400146484375
Lunatics,Comedy,2019-04-19,English,Australia,6.6,"3,394",
Bonding,Dark comedy,2019-04-24,English,United States,7.1,"16,928",374.2300109863281
Dead to Me,Black comedy-drama,2019-05-03,English,United States,8.0,"91,872",385.0299987792969
It's Bruno!,Comedy,2019-05-17,English,United States,7.5,"3,089",354.45001220703125
Mr. Iglesias,Comedy,2019-06-21,English,United States,7.1,"7,390",369.2099914550781
The Politician,Comedy,2019-09-27,English,United States,7.5,"23,466",263.0799865722656
Living with Yourself,Comedy drama,2019-10-18,English,United States,7.2,"33,234",275.29998779296875
Daybreak,Dark comedy,2019-10-24,English,United States,6.7,"21,542",271.5
Merry Happy Whatever,Comedy,2019-11-28,English,United States,6.3,"5,081",
Astronomy Club: The Sketch Show,Sketch comedy,2019-12-06,,,,,307.3500061035156
AJ and the Queen,Comedy,2020-01-10,English,United States,7.5,"8,604",329.04998779296875
Medical Police,Comedy,2020-01-10,English,United States,6.0,"4,419",329.04998779296875
Gentefied,Comedy drama,2020-02-21,English,United States,7.5,"2,886",380.07000732421875
I Am Not Okay with This,Coming-of-age comedy,2020-02-26,English,United States,7.5,"66,129",379.239990234375
The Iliza Shlesinger Sketch Show,Sketch comedy,2020-04-01,,United States,5.0,970,364.0799865722656
Brews Brothers,Comedy,2020-04-10,English,United States,5.1,"2,020",
#blackAF,Sitcom,2020-04-17,English,United States,6.8,"5,088",422.9599914550781
Space Force,Workplace comedy,2020-05-29,English,United States,6.7,"66,985",419.7300109863281
Teenage Bounty Hunters,Comedy,2020-08-14,English,United States,7.7,"13,008",482.67999267578125
The Duchess,Comedy,2020-09-11,English,"United Kingdom, Italy, France, United States",6.9,"84,820",482.0299987792969
Sneakerheads,Comedy,2020-09-25,English,United States,6.2,"1,492",482.8800048828125
Aunty Donna's Big Ol' House of Fun,Comedy,2020-11-11,English,Australia,7.9,"6,747",490.760009765625
